key,legacy_csv_line,ocr_file,ocr_line,old_grammar,ocr_grammar,old_sentence,ocr_sentence,status,changed_fields,audio_action,notes
第2課 - 3,27,Bunpou_p019-p025_visual.md,225,～を皮切りにして・～を皮切りとして,～を皮切りに（して）・～を皮切りとして,K銀行とM銀行の合併を皮切りとして、ここ数年企業の合併・統合が相次いで行われている。,K銀行とM銀行の合併を皮切りとして、ここ数年企業の合併・統合が相次いで行われている。,corrected,3;9;10;12;16,keep,
第2課 - 4,28,Bunpou_p019-p025_visual.md,232,～に至るまで,～に至るまで,わたしの学校は服装に厳しい。制服の着方はもちろん、ヘアスタイルやスカートの長さにまで至るまで注意される。,わたしの学校は服装に厳しい。制服の着方はもちろん、ヘアスタイルやスカートの長さに至るまで注意される。,corrected,2;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第2課 - 5,29,Bunpou_p019-p025_visual.md,233,～に至るまで,～に至るまで,今度の旅行のスケジュールは綿密だ。起床時間から飛行機内の食事開始時間に至るまで書いてある。,今度の旅行のスケジュール表は綿密だ。起床時間から飛行機内の食事開始時間に至るまで書いてある。,corrected,2;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第2課 - 6,30,Bunpou_p019-p025_visual.md,234,～に至るまで,～に至るまで,父の趣味は料理だ。食材も自家製でないと気が済まないらしく、みそ、豆腐に至るまで自分で作ります。,父の趣味は料理です。食材も自家製でないと気が済まないらしく、みそ、豆腐に至るまで自分で作ります。,corrected,2;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第2課 - 7,31,Bunpou_p019-p025_visual.md,257,～を限り(に),～を限りに,本年度を限りにこの講座の受講生募集を行わないことになりました。,本年度を限りにこの講座の受講生募集を行わないことになりました。,corrected,3;9;10;12;16,keep,
第2課 - 8,32,Bunpou_p019-p025_visual.md,258,～を限り(に),～を限りに,今日を限りにたばこをやめるぞ！,今日を限りにたばこをやめるぞ！,corrected,3;9;10;12;16,keep,
第2課 - 9,33,Bunpou_p019-p025_visual.md,259,～を限り(に),～を限りに,これを限りににお前とは親子の縁を切る。以後親でもなく、子でもない。,これを限りにお前とは親子の縁を切る。以後親でもなく、子でもない。,corrected,2;3;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第2課 - 10,34,Bunpou_p019-p025_visual.md,267,～をもって,～をもって,これをもって第35回卒業証書授与式を終わります。,これをもって第35回卒業証書授与式を終わります。,corrected,2;5;9;10;12;16,keep,
第2課 - 11,35,Bunpou_p019-p025_visual.md,268,～をもって,～をもって,2月20日をもって願書受け付けを締め切ります。遅れないように出してください。,2月20日をもって願書受け付けを締め切ります。遅れないように出してください。,corrected,2;5;9;10;12;16;19-opening,keep,
第2課 - 12,36,Bunpou_p019-p025_visual.md,269,～をもって,～をもって,当店は今月末をもちまして閉店させていただきます。長い間のご利用ありがとうございました。,当店は9月末日をもちまして閉店させていただきました。長い間のご利用ありがとうございました。,corrected,2;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第2課 - 13,37,Bunpou_p019-p025_visual.md,276,～といったところだ,～といったところだ,当地は最も暑い日でも26、7度といったところだ。,当地は夏もそれほど暑くありません。最高に暑い日でも26、7度といったところです。,corrected,2;5;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第2課 - 14,38,Bunpou_p019-p025_visual.md,277,～といったところだ,～といったところだ,この山歩き会は毎月山歩きを行っていますが、参加者は毎回せいぜい6、7人といったところです。,この山歩き会では毎月山歩きを行っていますが、参加者は毎回せいぜい6、7人といったところです。,corrected,2;5;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第2課 - 15,39,Bunpou_p019-p025_visual.md,278,～といったところだ,～といったところだ,休みがあってもほとんど遠出はしません。せいぜい1泊で温泉に行ったといったところでしょうか。,休みがあってもほとんど遠出はしません。せいぜい1泊で温泉に行くといったところでしょうか。,corrected,2;5;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第3課 - 1,40,Bunpou_p26-p32_visual.md,95,～をおいて,～をおいて,今、こんな素晴らしい色使いの染色ができる人は、彼を置いてほかにいない。,今、こんな素晴らしい色使いの染色ができる人は、彼をおいてほかにいない。,corrected,5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第3課 - 2,41,Bunpou_p26-p32_visual.md,97,～をおいて,～をおいて,日本で世界的な平和会議を行うなら、広島か長崎を置いてほかに候補地は考えられない。,日本で世界的な平和会議を行うなら、広島か長崎をおいてほかに候補地は考えられない。,corrected,5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第3課 - 3,42,Bunpou_p26-p32_visual.md,99,～をおいて,～をおいて,毎年夏にはこのホテルに来ている。心からくつろげる場所はここを置いてほかにない。,毎年夏にはこのホテルに来ている。心からくつろげる場所はここをおいてほかにない。,corrected,5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第3課 - 4,43,Bunpou_p26-p32_visual.md,109,～ならでは,～ならでは,さすが歌舞伎俳優の〜を助さん役で演じたのは、彼ならではの演技だ。ほれぼれするほどリアリティーがある。,さすが歌舞伎俳優の一之助さんならではの演技だ。ほれぼれするほどリアリティーがある。,corrected,2;5;9;10;12;19-opening,review_or_rerecord,translation and generated analysis require review
第3課 - 5,44,Bunpou_p26-p32_visual.md,111,～ならでは,～ならでは,ぜひ一度ヨットに乗ってみたい。これならではの体験はハワイならではですよ。,ぜひ一度ヨットに乗ってみてはいかがですか。この体験はハワイならではですよ。,corrected,2;5;9;10;12;19-opening,review_or_rerecord,translation and generated analysis require review
第3課 - 6,45,Bunpou_p26-p32_visual.md,113,～ならでは,～ならでは,この布製の袋にはぬくもりが感じられる。手作りならではの味！,この布製の袋にはぬくもりが感じられる。手作りならではだと思う。,corrected,2;5;9;10;12;19-opening,review_or_rerecord,translation and generated analysis require review
第3課 - 7,46,Bunpou_p26-p32_visual.md,115,～ならでは,～ならでは,100年続いた老舗ならでは出せないこの味の良さ！,100年続いた老舗ならでは出せないこの味の良さ！　店主が変わっても全く味が落ちていない。,corrected,2;5;9;10;12;19-opening,review_or_rerecord,translation and generated analysis require review
第3課 - 8,47,Bunpou_p26-p32_visual.md,127,～にとどまらず,～にとどまらず,マスメディアによる情報というものは、今や一国にとどまらず、世界中に伝わる。,マスメディアによる情報というものは、今や一国にとどまらず、世界中に伝わる。,corrected,9;10;12;16,keep,
第3課 - 9,48,Bunpou_p26-p32_visual.md,129,～にとどまらず,～にとどまらず,農作物は、台風に襲われた直後にとどまらず、一年中その影響を受ける。,農作物は、台風に襲われた直後にとどまらず、一年中その影響を受ける。,corrected,9;10;12;16,keep,
第3課 - 10,49,Bunpou_p26-p32_visual.md,131,～にとどまらず,～にとどまらず,一人の人間の明るさは、場を明るくするにとどまらず、周囲の人々に心身の活力を与える。,一人の人間の明るさは、場を明るくするにとどまらず、周囲の人々に心身の活力をも与える。,corrected,2;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第3課 - 11,50,Bunpou_p26-p32_visual.md,155,～はおろか,～はおろか,手間がかかる料理はおろか、日常の簡単な料理を作るのさえ面倒だ。,手間がかかる料理はおろか、日常の簡単な料理を作るのさえ面倒だ。,corrected,9;10;12;16,keep,
第3課 - 12,51,Bunpou_p26-p32_visual.md,157,～はおろか,～はおろか,小言を取り巻く状況は厳しい。町の専門店はおろか、有名デパートの閉店が相次いでいる。,小売店を取り巻く状況は厳しい。町の専門店はおろか、有名デパートの閉店も相次いでいる。,corrected,2;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第3課 - 13,52,Bunpou_p26-p32_visual.md,159,～はおろか,～はおろか,わたしは花粉症がひどくて、外ではおろか、家の中でさえマスクがはずせない。,わたしは花粉症がひどくて、外ではおろか、家の中でさえマスクがはずせない。,corrected,9;10;12;16,keep,
第3課 - 14,53,Bunpou_p26-p32_visual.md,169,～もさることながら,～もさることながら,この作家が書くものは、鋭い感性もさることながら、注意深く選ばれた語彙と文の運びが素晴らしい。,この作家が書くものは、鋭い感性もさることながら、注意深く選ばれた語彙と文の運び方が素晴らしい。,corrected,2;5;9;10;12;19-opening,review_or_rerecord,translation and generated analysis require review
第3課 - 15,54,Bunpou_p26-p32_visual.md,171,～もさることながら,～もさることながら,彼は人柄もさることながら、その頭の働きで周囲の人をぐいぐい引っ張っていく。,彼は人格もさることながら、その頭の働きの良さで周囲の人をぐいぐい引っ張っていく。,corrected,2;5;9;10;12;19-opening,review_or_rerecord,translation and generated analysis require review
第3課 - 16,55,Bunpou_p26-p32_visual.md,173,～もさることながら,～もさることながら,若者の政治的無関心もさることながら、社会全体に政治に対する無力感が広がっているような気がする。,若者の政治的無関心もさることながら、社会全体に政治に対する無力感が広がっているような気がする。,corrected,9;10;12,keep,
第4課 - 1,56,Bunpou_p26-p32_visual.md,306,～なり…なり,～なり…なり,昼休みは40分しかないんだから、おにぎりなりサンドイッチなり何か買って早く食べたほうがいい。,昼休みは40分しかないんだから、おにぎりなりサンドイッチなり何か買って早く食べたほうがいい。,corrected,9;10;12;16,keep,
第4課 - 2,57,Bunpou_p26-p32_visual.md,308,～なり…なり,～なり…なり,お手伝いできることはいたしますよ。わたしなりに力になってください。,お手伝いできることはいたしますよ。わたしになり兄になり言ってください。,corrected,2;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第4課 - 3,58,Bunpou_p26-p32_visual.md,310,～なり…なり,～なり…なり,言葉の意味がわからないならわからないなりに、辞書で調べるなりインターネットで探してみるなりしたらどうですか。,言葉の意味がわからなかったらわからないままにしないで、辞書で調べるなりインターネットで探してみるなりしてみたらどうですか。,corrected,2;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第4課 - 4,59,Bunpou_p26-p32_visual.md,312,～なり…なり,～なり…なり,この魚、彼が釣ったんだ。焼くなり煮るなりして食べてみて。,この魚、僕が釣ったんだ。焼くなり煮るなりして食べてみて。,corrected,2;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第4課 - 5,60,Bunpou_p26-p32_visual.md,322,～であれ…であれ・～であろうと…であろうと,～であれ…であれ・～であろうと…であろうと,地震であれ火事であれ、緊急の場合に冷静になれる人は少ないだろう。,地震であれ火事であれ、緊急の場合に冷静になれる人は少ないだろう。,corrected,2;5;9;10;12;16;19-opening,keep,
第4課 - 6,61,Bunpou_p26-p32_visual.md,324,～であれ…であれ・～であろうと…であろうと,～であれ…であれ・～であろうと…であろうと,文学であれ音楽であれ、芸術には才能が必要なのだ。努力だけではだめなのだ。,文学であれ音楽であれ、芸術には才能が必要なのだ。努力だけではだめなのだ。,corrected,2;5;9;10;12;16;19-opening,keep,
第4課 - 7,62,Bunpou_p26-p32_visual.md,326,～であれ…であれ・～であろうと…であろうと,～であれ…であれ・～であろうと…であろうと,禁煙であれ禁酒であれ、周りの人の協力が大切だと思う。,禁煙であれ禁酒であれ、周りの人の協力が大切だと思う。,corrected,2;5;9;10;12;16;19-opening,keep,
第4課 - 8,63,Bunpou_p26-p32_visual.md,328,～であれ…であれ・～であろうと…であろうと,～であれ…であれ・～であろうと…であろうと,ビールであろうとワインであろうと、酒は酒だ。運転前に絶対飲んではいけない。,ビールであろうとワインであろうと、酒は酒だ。運転前に絶対飲んではいけない。,corrected,2;5;9;10;12;16;19-opening,keep,
第4課 - 9,64,Bunpou_p26-p32_visual.md,352,～といい…といい,～といい…といい,この映画は映像の美しさといい音楽の素晴らしさといい、最高の作品だ。,この映画は映像の美しさといい音楽の素晴らしさといい、最高の作品だ。,corrected,9;10;12;16,keep,
第4課 - 10,65,Bunpou_p26-p32_visual.md,354,～といい…といい,～といい…といい,中島さんといい松本さんといい、うちの課の人はみんな話が面白い。,中島さんといい松本さんといい、うちの課の人はみんな話が面白い。,corrected,9;10;12;16,keep,
第4課 - 11,66,Bunpou_p26-p32_visual.md,356,～といい…といい,～といい…といい,この虫は色といい形といい、木の葉にそっくりだ。,この虫は色といい形といい、木の葉にそっくりだ。,corrected,9;10;12;16,keep,
第4課 - 12,67,Bunpou_p26-p32_visual.md,366,～といわず…といわず,～といわず…といわず,砂浜で遊んだ子供たちは、手といわず足といわず全身砂だらけだ。,砂浜で遊んでいた子供たちは、手といわず足といわず全身砂だらけだ。,corrected,2;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第4課 - 13,68,Bunpou_p26-p32_visual.md,368,～といわず…といわず,～といわず…といわず,室内で犬を飼っているので、廊下といわず部屋の中といわず家中犬の毛が落ちている。,室内で犬を飼っているので、廊下といわず部屋の中といわず家中犬の毛が落ちている。,corrected,9;10;12;16,keep,
第4課 - 14,69,Bunpou_p26-p32_visual.md,370,～といわず…といわず,～といわず…といわず,営業マンの田中さんは平日といわず週末といわずに休む暇なく社外に出て働いている。,営業マンの島田さんは平日といわず週末といわず休む暇なく社外に出て働いている。,corrected,2;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第5課 - 1,70,Bunpou_p33-p39_visual.md,251,～いかんだ,～いかんだ,世界選手権大会をこの国で開催できるかどうかは、国民の協力いかんだ。,世界選手権大会をこの国で開催できるかどうかは、国民の協力いかんだ。,corrected,9;10;12;16,keep,
第5課 - 2,71,Bunpou_p33-p39_visual.md,253,～いかんだ,～いかんだ,筆記試験にパスした。明日の面接の結果いかんだで採用が決まるそうだ。,筆記試験はパスした。あしたの面接の結果いかんで採用が決まるそうだ。,corrected,2;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第5課 - 3,72,Bunpou_p33-p39_visual.md,255,～いかんだ,～いかんだ,申し込み者数いかんでは、ツアーを中止しなければならないかもしれない。,申し込み者数いかんでは、ツアーを中止しなければならないかもしれない。,corrected,2;5;9;10;12;16,keep,
第5課 - 4,73,Bunpou_p33-p39_visual.md,257,～いかんだ,～いかんだ,支持率いかんでは、今の政権も長くは続かないだろう。,支持率いかんでは、今の政権も長くは続かないだろう。,corrected,2;5;9;10;12;16,keep,
第5課 - 5,74,Bunpou_p33-p39_visual.md,267,～いかんにかかわらず・～いかんによらず・～いかんを問わず,～いかんにかかわらず・～いかんによらず・～いかんを問わず,内容のいかんにかかわらず、個人情報の問い合わせにはお答えしておりません。,内容のいかんにかかわらず、個人情報の問い合わせにはお答えしておりません。,corrected,12;16,keep,
第5課 - 6,75,Bunpou_p33-p39_visual.md,269,～いかんにかかわらず・～いかんによらず・～いかんを問わず,～いかんにかかわらず・～いかんによらず・～いかんを問わず,明日の試合の結果いかんによらず、優勝できることは決まってしまった。,明日の試合の結果いかんによらず、優勝できないことは決まってしまった。,corrected,2;5;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第5課 - 7,76,Bunpou_p33-p39_visual.md,271,～いかんにかかわらず・～いかんによらず・～いかんを問わず,～いかんにかかわらず・～いかんによらず・～いかんを問わず,当社は学歴・年齢・過去の実績のいかんを問わず、初任給は一律です。,当社は学歴・年齢・過去の実績のいかんを問わず、初任給は一律です。,corrected,12;16,keep,
第5課 - 8,77,Bunpou_p33-p39_visual.md,290,～をものともせずに(に),～をものともせず(に),彼は体の障害をものともせず、精力的に活動している。,彼は体の障害をものともせずに、精力的に活動している。,corrected,2;3;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第5課 - 9,78,Bunpou_p33-p39_visual.md,292,～をものともせずに(に),～をものともせず(に),母は難病にかかったが、がんの苦痛をものともせず、最期まで明るくふるまった。,母は強かった。がんの宣告をものともせず、最期まで明るくふるまった。,corrected,2;3;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第5課 - 10,79,Bunpou_p33-p39_visual.md,294,～をものともせずに(に),～をものともせず(に),緑隊たちは危険をものともせずに、行方不明の人の捜索を続けた。,隊員たちは危険をものともせずに、行方不明の人の捜索を続けた。,corrected,2;3;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第5課 - 11,80,Bunpou_p33-p39_visual.md,304,～をよそに,～をよそに,家族の心配をよそに、子供は退院したその日から友達と遊びに出かけた。,家族の心配をよそに、子供は退院したその日から友達と遊びに出かけた。,corrected,2;5;9;10;12;16;19-opening,keep,
第5課 - 12,81,Bunpou_p33-p39_visual.md,306,～をよそに,～をよそに,住民たちの抗議活動をよそに、ダムの建設計画が進められている。,住民たちの抗議行動をよそに、ダムの建設計画が進められている。,corrected,2;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第5課 - 13,82,Bunpou_p33-p39_visual.md,308,～をよそに,～をよそに,彼は周囲の人たちの不安をよそに、再び戦地の取材に出発した。,彼は周囲の人たちの不安をよそに、再び戦地の取材に出発していった。,corrected,2;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第5課 - 14,83,Bunpou_p33-p39_visual.md,318,～ならいざしらず,～ならいざしらず,安いホテルならいざしらず、一流ホテルでこんなサービスが悪いなんて許せない。,安いホテルならいざしらず、一流ホテルでこんなにサービスが悪いなんて許せない。,corrected,2;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第5課 - 15,84,Bunpou_p33-p39_visual.md,320,～ならいざしらず,～ならいざしらず,祖父母の代ならいざしらず、今の時代に「手ぬぐい」なんてあまり使わない。,祖父母の代ならいざしらず、今の時代に「手ぬぐい」なんてあまり使わないよ。,corrected,2;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第5課 - 16,85,Bunpou_p33-p39_visual.md,322,～ならいざしらず,～ならいざしらず,ヒマラヤ登山をするのならいざしらず、その辺の山へ行くのにそんなに重装備でなければいけないのか。,ヒマラヤ登山をするのならいざしらず、その辺の山へ行くのにそんなに重装備でなければいけないのか。,corrected,9;10;12;16,keep,
第5課 - 17,86,Bunpou_p33-p39_visual.md,324,～ならいざしらず,～ならいざしらず,治療の難しい病気ならいざしらず、ごくある病気でこんなに心配することはありませんよ。,治療が難しいのならいざしらず、よくある病気ですから、そんなに心配することはありませんよ。,corrected,2;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第6課 - 1,87,Bunpou_p40-p46_visual.md,90,～んばかリだ,～んばかりだ,彼は力強くうなずいた。任せろと言わんばかりだった。,彼は力強くうなずいた。任せろと言わんばかりだった。,corrected,2;3;5;9;10;12;16;19-opening,keep,
第6課 - 2,88,Bunpou_p40-p46_visual.md,91,～んばかリだ,～んばかりだ,頭を畳に押しつけんばかりにわびたのに、父は許してくれなかった。,頭を畳につけんばかりにしてわびたのに、父は許してくれなかった。,corrected,2;3;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第6課 - 3,89,Bunpou_p40-p46_visual.md,92,～んばかリだ,～んばかりだ,観客が興奮した様子で、会場は割れんばかりの拍手が起こった。,演奏が終わったとき、会場には割れんばかりの拍手が起こった。,corrected,2;3;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第6課 - 4,90,Bunpou_p40-p46_visual.md,93,～んばかリだ,～んばかりだ,かごいっぱい、あふれんばかりのさくらんぼをいただいた。,かごいっぱい、あふれんばかりのさくらんぼをいただいた。,corrected,3;9;10;12;16,keep,
第6課 - 5,91,Bunpou_p40-p46_visual.md,103,～とばかりに(に),～とばかり(に),ケーキを買って帰ったら、「待ってました」とばかりに、みんながテーブルに集まった。,ケーキを買って帰ったら、「待ってました」とばかり、みんながテーブルに集まった。,corrected,3;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第6課 - 6,92,Bunpou_p40-p46_visual.md,104,～とばかりに(に),～とばかり(に),子供はもう歩けないとばかりに、その場にしゃがみ込んでしまった。,子供はもう歩けないとばかりに、その場にしゃがみ込んでしまった。,corrected,3;9;10;12;16,keep,
第6課 - 7,93,Bunpou_p40-p46_visual.md,105,～とばかりに(に),～とばかり(に),開発計画について意見交換が行われた。住民たちはこの時とばかりに、いろいろな意見を言った。,開発計画について意見交換会が行われた。住民たちはこの時とばかり、いろいろな意見を言った。,corrected,2;3;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第6課 - 8,94,Bunpou_p40-p46_visual.md,115,～ともなく・～ともなしに,～ともなく・～ともなしに,テレビを見るともなく見ていたら、友達がテレビに出ていてびっくりした。,テレビを見るともなく見ていたら、友達がテレビに出ていてびっくりした。,corrected,9;10;16,keep,
第6課 - 9,95,Bunpou_p40-p46_visual.md,116,～ともなく・～ともなしに,～ともなく・～ともなしに,朝起きて、するともなくしばらくぼんやりしていた。,朝起きて、何をするともなくしばらくぼんやりしていた。,corrected,2;5;9;10;16;19-opening,review_or_rerecord,translation and generated analysis require review
第6課 - 10,96,Bunpou_p40-p46_visual.md,117,～ともなく・～ともなしに,～ともなく・～ともなしに,カーラジオの音楽を聞くともなしに聞いていたら、眠くなってしまった。,カーラジオの音楽を聞くともなしに聞いていたら、眠くなってしまった。,corrected,9;10;16,keep,
第6課 - 11,97,Bunpou_p40-p46_visual.md,131,～ともなく・～ともなしに,～ともなく・～ともなしに,どこからともなく、おいしそうなカレーの匂いがしてくる。,どこからともなく、おいしそうなカレーのにおいがしてくる。,corrected,2;5;9;10;16;19-opening,review_or_rerecord,translation and generated analysis require review
第6課 - 12,98,Bunpou_p40-p46_visual.md,132,～ともなく・～ともなしに,～ともなく・～ともなしに,だれともなく、黒田さんのことをタマちゃんとあだ名で呼び始めた。,だれともなく、熊田さんのことをクマちゃんとあだ名で呼び始めた。,corrected,2;5;9;10;16;19-opening,review_or_rerecord,translation and generated analysis require review
